file,rows,cols,base_cols_count,timestamp_cols_count,null_cells,duplicate_rows,metrics_count,min_value,max_value,min_timestamp,max_timestamp,parse_timestamp_nulls,parse_value_nulls
AVAILABILITY-data (1).csv,1,367,4,363,2,0,1,18647.0,39771.0,2026-02-01 06:59:40,2026-02-01 08:00:00,0,0
AVAILABILITY-data (10).csv,1,367,4,363,2,0,1,4965871.0,5275443.0,2026-02-01 15:59:40,2026-02-01 17:00:00,0,0
AVAILABILITY-data (100).csv,1,367,4,363,2,0,1,1769140.0,2767407.0,2026-02-06 09:59:40,2026-02-06 11:00:00,0,0
AVAILABILITY-data (11).csv,1,367,4,363,2,0,1,4812101.0,5280107.0,2026-02-01 16:59:40,2026-02-01 18:00:00,0,0
AVAILABILITY-data (12).csv,1,367,4,363,2,0,1,4601422.0,4863737.0,2026-02-01 17:59:40,2026-02-01 19:00:00,0,0
AVAILABILITY-data (13).csv,1,367,4,363,2,0,1,4303482.0,4617987.0,2026-02-01 18:59:40,2026-02-01 20:00:00,0,0
AVAILABILITY-data (14).csv,1,367,4,363,2,0,1,3861386.0,4430975.0,2026-02-01 19:59:40,2026-02-01 21:00:00,0,0
AVAILABILITY-data (15).csv,1,367,4,363,2,0,1,3161669.0,3892304.0,2026-02-01 20:59:40,2026-02-01 22:00:00,0,0
AVAILABILITY-data (16).csv,1,367,4,363,2,0,1,2046491.0,3173541.0,2026-02-01 21:59:40,2026-02-01 23:00:00,0,0
AVAILABILITY-data (17).csv,1,367,4,363,2,0,1,977255.0,2051211.0,2026-02-01 22:59:40,2026-02-02 00:00:00,0,0
AVAILABILITY-data (18).csv,1,45,4,41,2,0,1,1382.0,980304.0,2026-02-01 23:59:40,2026-02-02 00:06:20,0,0
AVAILABILITY-data (19).csv,1,297,4,293,2,0,1,28.0,19111.0,2026-02-02 06:11:20,2026-02-02 07:00:00,0,0
AVAILABILITY-data (2).csv,1,367,4,363,2,0,1,39745.0,425546.0,2026-02-01 07:59:40,2026-02-01 09:00:00,0,0
AVAILABILITY-data (20).csv,1,367,4,363,2,0,1,16447.0,42640.0,2026-02-02 06:59:40,2026-02-02 08:00:00,0,0
AVAILABILITY-data (21).csv,1,367,4,363,2,0,1,42522.0,431222.0,2026-02-02 07:59:40,2026-02-02 09:00:00,0,0
AVAILABILITY-data (22).csv,1,367,4,363,2,0,1,430126.0,1289239.0,2026-02-02 08:59:40,2026-02-02 10:00:00,0,0
AVAILABILITY-data (23).csv,1,367,4,363,2,0,1,1282263.0,1941205.0,2026-02-02 09:59:40,2026-02-02 11:00:00,0,0
AVAILABILITY-data (24).csv,1,367,4,363,2,0,1,1940414.0,2472258.0,2026-02-02 10:59:40,2026-02-02 12:00:00,0,0
AVAILABILITY-data (25).csv,1,367,4,363,2,0,1,2470694.0,3191782.0,2026-02-02 11:59:40,2026-02-02 13:00:00,0,0
AVAILABILITY-data (26).csv,1,367,4,363,2,0,1,3168410.0,3843871.0,2026-02-02 12:59:40,2026-02-02 14:00:00,0,0
AVAILABILITY-data (27).csv,1,367,4,363,2,0,1,3816338.0,4409752.0,2026-02-02 13:59:40,2026-02-02 15:00:00,0,0
AVAILABILITY-data (28).csv,1,367,4,363,2,0,1,4151895.0,4554582.0,2026-02-02 14:59:40,2026-02-02 16:00:00,0,0
AVAILABILITY-data (29).csv,1,367,4,363,2,0,1,4006989.0,4337441.0,2026-02-02 15:59:40,2026-02-02 17:00:00,0,0
AVAILABILITY-data (3).csv,1,367,4,363,2,0,1,424265.0,1282681.0,2026-02-01 08:59:40,2026-02-01 10:00:00,0,0
AVAILABILITY-data (30).csv,1,367,4,363,2,0,1,3955820.0,4114478.0,2026-02-02 16:59:40,2026-02-02 18:00:00,0,0
AVAILABILITY-data (31).csv,1,367,4,363,2,0,1,3723735.0,3970382.0,2026-02-02 17:59:40,2026-02-02 19:00:00,0,0
AVAILABILITY-data (32).csv,1,365,4,361,2,0,1,3610433.0,3863625.0,2026-02-02 19:00:00,2026-02-02 20:00:00,0,0
AVAILABILITY-data (33).csv,1,367,4,363,2,0,1,3299959.0,3812677.0,2026-02-02 19:59:40,2026-02-02 21:00:00,0,0
AVAILABILITY-data (34).csv,1,367,4,363,2,0,1,2729131.0,3332224.0,2026-02-02 20:59:40,2026-02-02 22:00:00,0,0
AVAILABILITY-data (35).csv,1,367,4,363,2,0,1,1878499.0,2738245.0,2026-02-02 21:59:40,2026-02-02 23:00:00,0,0
AVAILABILITY-data (36).csv,1,312,4,308,2,0,1,842111.0,1504629.0,2026-02-02 23:08:50,2026-02-03 00:00:00,0,0
AVAILABILITY-data (37).csv,1,46,4,42,2,0,1,361.0,845210.0,2026-02-02 23:59:40,2026-02-03 00:06:30,0,0
AVAILABILITY-data (38).csv,1,297,4,293,2,0,1,0.0,20193.0,2026-02-03 06:11:20,2026-02-03 07:00:00,0,0
AVAILABILITY-data (39).csv,1,325,4,321,2,0,1,30730.0,49006.0,2026-02-03 07:06:40,2026-02-03 08:00:00,0,0
AVAILABILITY-data (4).csv,1,367,4,363,2,0,1,1228440.0,2056874.0,2026-02-01 09:59:40,2026-02-01 11:00:00,0,0
AVAILABILITY-data (40).csv,1,367,4,363,2,0,1,48943.0,509786.0,2026-02-03 07:59:40,2026-02-03 09:00:00,0,0
AVAILABILITY-data (41).csv,1,367,4,363,2,0,1,48943.0,509786.0,2026-02-03 07:59:40,2026-02-03 09:00:00,0,0
AVAILABILITY-data (42).csv,1,367,4,363,2,0,1,508500.0,1556262.0,2026-02-03 08:59:40,2026-02-03 10:00:00,0,0
AVAILABILITY-data (43).csv,1,367,4,363,2,0,1,1555217.0,2401586.0,2026-02-03 09:59:40,2026-02-03 11:00:00,0,0
AVAILABILITY-data (44).csv,1,367,4,363,2,0,1,2400206.0,3045033.0,2026-02-03 10:59:40,2026-02-03 12:00:00,0,0
AVAILABILITY-data (45).csv,1,367,4,363,2,0,1,3042471.0,4035183.0,2026-02-03 11:59:40,2026-02-03 13:00:00,0,0
AVAILABILITY-data (46).csv,1,367,4,363,2,0,1,4002625.0,4802827.0,2026-02-03 12:59:40,2026-02-03 14:00:00,0,0
AVAILABILITY-data (47).csv,1,367,4,363,2,0,1,4742864.0,5414159.0,2026-02-03 13:59:40,2026-02-03 15:00:00,0,0
AVAILABILITY-data (48).csv,1,367,4,363,2,0,1,5412957.0,5708166.0,2026-02-03 14:59:40,2026-02-03 16:00:00,0,0
AVAILABILITY-data (49).csv,1,367,4,363,2,0,1,5604743.0,5672150.0,2026-02-03 15:59:40,2026-02-03 17:00:00,0,0
AVAILABILITY-data (5).csv,1,367,4,363,2,0,1,2038633.0,2731352.0,2026-02-01 10:59:40,2026-02-01 12:00:00,0,0
AVAILABILITY-data (50).csv,1,367,4,363,2,0,1,5342944.0,5648394.0,2026-02-03 16:59:40,2026-02-03 18:00:00,0,0
AVAILABILITY-data (51).csv,1,367,4,363,2,0,1,5027540.0,5387285.0,2026-02-03 17:59:40,2026-02-03 19:00:00,0,0
AVAILABILITY-data (52).csv,1,367,4,363,2,0,1,4844921.0,5059470.0,2026-02-03 18:59:40,2026-02-03 20:00:00,0,0
AVAILABILITY-data (53).csv,1,367,4,363,2,0,1,4376619.0,4951683.0,2026-02-03 19:59:40,2026-02-03 21:00:00,0,0
AVAILABILITY-data (54).csv,1,367,4,363,2,0,1,3614854.0,4420859.0,2026-02-03 20:59:40,2026-02-03 22:00:00,0,0
AVAILABILITY-data (55).csv,1,367,4,363,2,0,1,2404878.0,3617085.0,2026-02-03 21:59:40,2026-02-03 23:00:00,0,0
AVAILABILITY-data (56).csv,1,367,4,363,2,0,1,1030636.0,2410227.0,2026-02-03 22:59:40,2026-02-04 00:00:00,0,0
AVAILABILITY-data (57).csv,1,45,4,41,2,0,1,5186.0,1032816.0,2026-02-03 23:59:40,2026-02-04 00:06:20,0,0
AVAILABILITY-data (58).csv,1,297,4,293,2,0,1,0.0,19010.0,2026-02-04 06:11:20,2026-02-04 07:00:00,0,0
AVAILABILITY-data (59).csv,1,367,4,363,2,0,1,17895.0,49517.0,2026-02-04 06:59:40,2026-02-04 08:00:00,0,0
AVAILABILITY-data (6).csv,1,367,4,363,2,0,1,2725656.0,3488777.0,2026-02-01 11:59:40,2026-02-01 13:00:00,0,0
AVAILABILITY-data (60).csv,1,367,4,363,2,0,1,49386.0,529139.0,2026-02-04 07:59:40,2026-02-04 09:00:00,0,0
AVAILABILITY-data (61).csv,1,367,4,363,2,0,1,528966.0,1680003.0,2026-02-04 08:59:40,2026-02-04 10:00:00,0,0
AVAILABILITY-data (62).csv,1,367,4,363,2,0,1,1678421.0,2593523.0,2026-02-04 09:59:40,2026-02-04 11:00:00,0,0
AVAILABILITY-data (63).csv,1,367,4,363,2,0,1,2592678.0,3346679.0,2026-02-04 10:59:40,2026-02-04 12:00:00,0,0
AVAILABILITY-data (64).csv,1,367,4,363,2,0,1,3345695.0,4165384.0,2026-02-04 11:59:40,2026-02-04 13:00:00,0,0
AVAILABILITY-data (65).csv,1,367,4,363,2,0,1,4159992.0,4957453.0,2026-02-04 12:59:40,2026-02-04 14:00:00,0,0
AVAILABILITY-data (66).csv,1,367,4,363,2,0,1,4874487.0,5645867.0,2026-02-04 13:59:40,2026-02-04 15:00:00,0,0
AVAILABILITY-data (67).csv,1,367,4,363,2,0,1,5463614.0,5917626.0,2026-02-04 14:59:40,2026-02-04 16:00:00,0,0
AVAILABILITY-data (68).csv,1,367,4,363,2,0,1,5760867.0,5901610.0,2026-02-04 15:59:40,2026-02-04 17:00:00,0,0
AVAILABILITY-data (69).csv,1,367,4,363,2,0,1,5608019.0,5890138.0,2026-02-04 16:59:40,2026-02-04 18:00:00,0,0
AVAILABILITY-data (7).csv,1,367,4,363,2,0,1,3466178.0,4386731.0,2026-02-01 12:59:40,2026-02-01 14:00:00,0,0
AVAILABILITY-data (70).csv,1,367,4,363,2,0,1,5393105.0,5614565.0,2026-02-04 17:59:40,2026-02-04 19:00:00,0,0
AVAILABILITY-data (71).csv,1,367,4,363,2,0,1,4924786.0,5428814.0,2026-02-04 18:59:40,2026-02-04 20:00:00,0,0
AVAILABILITY-data (72).csv,1,367,4,363,2,0,1,4586647.0,4958987.0,2026-02-04 19:59:40,2026-02-04 21:00:00,0,0
AVAILABILITY-data (73).csv,1,367,4,363,2,0,1,3652955.0,4590817.0,2026-02-04 20:59:40,2026-02-04 22:00:00,0,0
AVAILABILITY-data (74).csv,1,367,4,363,2,0,1,2583293.0,3655487.0,2026-02-04 21:59:40,2026-02-04 23:00:00,0,0
AVAILABILITY-data (75).csv,1,367,4,363,2,0,1,1134935.0,2586932.0,2026-02-04 22:59:40,2026-02-05 00:00:00,0,0
AVAILABILITY-data (76).csv,1,297,4,293,2,0,1,0.0,16801.0,2026-02-05 06:11:20,2026-02-05 07:00:00,0,0
AVAILABILITY-data (77).csv,1,367,4,363,2,0,1,15357.0,50359.0,2026-02-05 06:59:40,2026-02-05 08:00:00,0,0
AVAILABILITY-data (78).csv,1,367,4,363,2,0,1,50353.0,539494.0,2026-02-05 07:59:40,2026-02-05 09:00:00,0,0
AVAILABILITY-data (79).csv,1,367,4,363,2,0,1,537749.0,1728353.0,2026-02-05 08:59:40,2026-02-05 10:00:00,0,0
AVAILABILITY-data (8).csv,1,367,4,363,2,0,1,4340908.0,5059827.0,2026-02-01 13:59:40,2026-02-01 15:00:00,0,0
AVAILABILITY-data (80).csv,1,367,4,363,2,0,1,537749.0,1728353.0,2026-02-05 08:59:40,2026-02-05 10:00:00,0,0
AVAILABILITY-data (81).csv,1,367,4,363,2,0,1,1433779.0,2674483.0,2026-02-05 09:59:40,2026-02-05 11:00:00,0,0
AVAILABILITY-data (82).csv,1,367,4,363,2,0,1,2636245.0,3447982.0,2026-02-05 10:59:40,2026-02-05 12:00:00,0,0
AVAILABILITY-data (83).csv,1,367,4,363,2,0,1,3447672.0,4315005.0,2026-02-05 11:59:40,2026-02-05 13:00:00,0,0
AVAILABILITY-data (84).csv,1,367,4,363,2,0,1,4297744.0,5036615.0,2026-02-05 12:59:40,2026-02-05 14:00:00,0,0
AVAILABILITY-data (85).csv,1,367,4,363,2,0,1,5030900.0,5651053.0,2026-02-05 13:59:40,2026-02-05 15:00:00,0,0
AVAILABILITY-data (86).csv,1,367,4,363,2,0,1,5493171.0,6094399.0,2026-02-05 14:59:40,2026-02-05 16:00:00,0,0
AVAILABILITY-data (87).csv,1,367,4,363,2,0,1,6003566.0,6107574.0,2026-02-05 15:59:40,2026-02-05 17:00:00,0,0
AVAILABILITY-data (88).csv,1,367,4,363,2,0,1,5798024.0,6059151.0,2026-02-05 16:59:40,2026-02-05 18:00:00,0,0
AVAILABILITY-data (89).csv,1,367,4,363,2,0,1,5599859.0,5813477.0,2026-02-05 17:59:40,2026-02-05 19:00:00,0,0
AVAILABILITY-data (9).csv,1,367,4,363,2,0,1,5026136.0,5224516.0,2026-02-01 14:59:40,2026-02-01 16:00:00,0,0
AVAILABILITY-data (90).csv,1,367,4,363,2,0,1,5438816.0,5625773.0,2026-02-05 18:59:40,2026-02-05 20:00:00,0,0
AVAILABILITY-data (91).csv,1,367,4,363,2,0,1,4861086.0,5476694.0,2026-02-05 19:59:40,2026-02-05 21:00:00,0,0
AVAILABILITY-data (92).csv,1,367,4,363,2,0,1,2980349.0,4864163.0,2026-02-05 20:59:40,2026-02-05 22:00:00,0,0
AVAILABILITY-data (93).csv,1,367,4,363,2,0,1,2844215.0,3933108.0,2026-02-05 21:59:40,2026-02-05 23:00:00,0,0
AVAILABILITY-data (94).csv,1,367,4,363,2,0,1,1396354.0,2849246.0,2026-02-05 22:59:40,2026-02-06 00:00:00,0,0
AVAILABILITY-data (95).csv,1,46,4,42,2,0,1,0.0,1399184.0,2026-02-05 23:59:40,2026-02-06 00:06:30,0,0
AVAILABILITY-data (96).csv,1,297,4,293,2,0,1,0.0,19082.0,2026-02-06 06:11:20,2026-02-06 07:00:00,0,0
AVAILABILITY-data (97).csv,1,367,4,363,2,0,1,17248.0,49732.0,2026-02-06 06:59:40,2026-02-06 08:00:00,0,0
AVAILABILITY-data (98).csv,1,341,4,337,2,0,1,237035.0,554830.0,2026-02-06 08:04:00,2026-02-06 09:00:00,0,0
AVAILABILITY-data (99).csv,1,367,4,363,2,0,1,554519.0,1769601.0,2026-02-06 08:59:40,2026-02-06 10:00:00,0,0
AVAILABILITY-data - 2026-02-11T155953.683.csv,1,367,4,363,2,0,1,2749152.0,3496699.0,2026-02-06 10:59:40,2026-02-06 12:00:00,0,0
AVAILABILITY-data - 2026-02-11T155958.052.csv,1,367,4,363,2,0,1,3484859.0,4382917.0,2026-02-06 11:59:40,2026-02-06 13:00:00,0,0
AVAILABILITY-data - 2026-02-11T160002.161.csv,1,367,4,363,2,0,1,4372455.0,5100639.0,2026-02-06 12:59:40,2026-02-06 14:00:00,0,0
AVAILABILITY-data - 2026-02-11T160006.379.csv,1,367,4,363,2,0,1,5090108.0,5899714.0,2026-02-06 13:59:40,2026-02-06 15:00:00,0,0
AVAILABILITY-data - 2026-02-11T160010.761.csv,1,367,4,363,2,0,1,5892778.0,6192228.0,2026-02-06 14:59:40,2026-02-06 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T160224.727.csv,1,367,4,363,2,0,1,5892778.0,6192228.0,2026-02-06 14:59:40,2026-02-06 16:00:00,0,0
AVAILABILITY-data - 2026-02-11T160230.006.csv,1,367,4,363,2,0,1,6047861.0,6198472.0,2026-02-06 15:59:40,2026-02-06 17:00:00,0,0
